,0,1
751,142,2120
752,142,2141
753,142,2142
754,142,2179
755,142,2180
756,142,2214
757,142,2215
758,142,2263
759,142,2264
760,142,2445
761,142,2446
762,143,230
763,143,231
764,143,2105
765,143,2106
766,143,2107
767,143,2263
768,143,2264
769,143,2319
770,143,2320
771,143,2411
772,143,2443
773,143,2444
774,143,2445
775,143,2448
776,144,230
777,144,231
778,144,2105
779,144,2106
780,144,2319
781,144,2320
782,144,2328
783,144,2329
784,144,2407
785,144,2408
786,144,2411
787,144,2441
788,144,2442
789,144,2443
790,144,2444
791,144,2448
792,145,229
793,145,230
794,145,2105
795,145,2106
796,145,2328
797,145,2329
798,145,2383
799,145,2384
800,145,2407
801,145,2408
802,145,2413
803,145,2414
804,145,2421
805,145,2438
806,145,2439
807,145,2441
808,145,2442
809,145,2446
810,145,2447
811,145,2448
812,146,229
813,146,230
814,146,2383
815,146,2384
816,146,2396
817,146,2397
818,146,2413
819,146,2414
820,146,2415
821,146,2421
822,146,2438
823,146,2439
824,146,2441
825,146,2446
826,146,2447
827,146,2448
828,147,228
829,147,229
830,147,2396
831,147,2397
832,147,2414
833,147,2415
834,147,2417
835,147,2418
836,147,2423
837,147,2448
838,147,2449
839,148,228
840,148,229
841,148,2417
842,148,2418
843,148,2423
844,148,2448
845,148,2449
846,149,227
847,149,228
848,149,2449
849,149,2450
850,150,227
851,150,228
852,150,2449
853,150,2450
854,151,227
855,151,228
856,151,2450
857,152,226
858,152,227
859,152,2450
860,153,226
861,153,227
862,153,2450
863,154,225
864,154,226
865,154,2450
866,155,225
867,155,226
868,155,2450
869,156,225
870,156,2450
871,156,2451
872,157,224
873,157,225
874,157,2450
875,157,2451
876,158,224
877,158,225
878,158,2451
879,159,224
880,159,2451
881,160,224
882,160,2451
883,161,224
884,161,2451
885,161,2452
886,162,223
887,162,224
888,162,2451
889,162,2452
890,163,223
891,163,224
892,163,302
893,163,303
894,163,2452
895,164,223
896,164,301
897,164,302
898,164,303
899,164,2452
900,165,223
901,165,301
902,165,302
903,165,305
904,165,306
905,165,2452
906,166,223
907,166,301
908,166,302
909,166,305
910,166,306
911,166,308
912,166,2452
913,166,2453
914,167,222
915,167,223
916,167,301
917,167,302
918,167,307
919,167,308
920,167,2452
921,167,2453
922,168,222
923,168,223
924,168,301
925,168,302
926,168,303
927,168,307
928,168,2453
929,169,222
930,169,302
931,169,303
932,169,2453
933,170,221
934,170,222
935,170,2453
936,171,221
937,171,222
938,171,2453
939,172,221
940,172,222
941,172,2453
942,173,221
943,173,2453
944,174,220
945,174,221
946,174,2453
947,174,2454
948,175,220
949,175,221
950,175,2453
951,175,2454
952,176,220
953,176,2454
954,177,219
955,177,220
956,177,2454
957,178,219
958,178,220
959,178,2454
960,179,219
961,179,2454
962,180,219
963,180,2454
964,181,219
965,181,2454
966,181,2455
967,182,218
968,182,219
969,182,2454
970,182,2455
971,183,218
972,183,219
973,183,2455
974,184,218
975,184,2455
976,185,217
977,185,218
978,185,2455
979,186,217
980,186,218
981,186,2455
982,187,217
983,187,2455
984,188,217
